,lead
617,2-8697
618,1-4467
619,4-0650
620,7-6560
621,1-4683
622,2-8919
623,1-6253
624,2-5010
625,6-5525
626,1-9777
627,6-0062
628,6-9625
629,7-8346
630,3-4803
631,1-1348
632,1-9245
633,1-6481
634,5-3369
635,3-1402
636,5-7907
637,8-9418
638,3-3322
639,1-1668
640,5-9391
641,5-3675
642,1-7632
643,6-5444
644,8-5853
645,7-3579
646,8-0841
647,4-0288
648,7-1742
649,3-5937
650,4-6853
651,5-2529
652,8-1134
653,7-6855
654,6-1163
655,5-0979
656,1-5527
657,5-0272
658,3-3752
659,3-9970
660,6-6892
661,7-9157
662,3-5413
663,5-3190
664,6-3128
665,7-4894
666,4-0760
667,5-8896
668,8-1329
669,2-5494
670,2-8414
671,7-3128
672,7-1862
673,3-3082
674,3-4065
675,8-0711
676,3-8461
677,3-7973
678,8-5310
679,8-5360
680,8-7933
681,8-1685
682,7-0165
683,5-2606
684,7-0264
685,6-2769
686,4-4033
687,6-4193
688,2-3678
689,7-7721
690,8-4715
691,8-9374
692,2-4123
693,3-0922
694,6-3994
695,4-9449
696,7-8011
697,4-5245
698,2-1728
699,2-2842
700,7-8573
701,3-9183
702,2-4801
703,3-7862
704,7-6197
705,2-6002
706,5-3009
707,1-0513
708,3-9998
709,4-4698
710,2-9991
711,4-2714
712,3-3096
713,8-6305
714,6-0364
715,7-4048
716,5-9949
717,1-8339
718,5-5840
719,1-8300
720,8-9788
721,3-6465
722,5-4063
723,1-0946
724,6-1161
725,6-6862
726,6-1646
727,5-3897
728,6-7779
729,2-0869
730,8-7801
731,1-3891
732,6-5266
733,6-0642
734,5-3052
735,3-6578
736,6-4493
737,7-2499
738,8-2862
739,8-1174
740,6-8796
741,4-3312
742,3-1847
743,7-4353
744,5-4690
745,8-2760
746,7-9783
747,8-9224
748,7-1646
749,2-6456
750,3-8131
751,6-7470
752,3-6569
753,3-2097
754,4-5643
755,2-9377
756,2-7083
757,4-4523
758,8-4367
759,2-8388
760,5-3430
761,3-1309
762,3-0665
763,6-2259
764,4-8046
765,6-1382
766,7-0809
767,1-3056
768,3-3143
769,5-4988
770,6-1512
771,6-0800
772,8-0907
773,6-6467
774,1-9846
775,4-2945
776,1-2215
777,8-7733
778,6-0726
779,1-4737
780,7-5153
781,4-5408
782,7-9761
783,4-8489
784,2-9484
785,1-8783
786,2-7513
787,5-9037
788,6-5502
789,5-1100
790,2-9015
791,5-4312
792,7-9204
793,4-0167
794,1-1775
795,1-4284
796,2-9212
797,3-1698
798,4-8788
799,1-7356
800,3-4384
801,1-0922
802,5-3048
803,6-7864
804,1-9290
805,3-4049
806,7-5272
807,3-7039
808,6-9151
809,2-9761
810,7-7874
811,7-1684
812,7-4983
813,8-9881
814,6-4560
815,1-3021
816,7-0788
817,8-8051
818,7-7088
819,8-5068
820,4-3037
821,5-8459
822,3-9024
823,7-7868
824,6-1686
825,8-7816
826,4-0152
827,5-8094
828,4-0430
829,4-0655
830,2-7792
831,1-0138
832,3-3596
833,2-3250
834,2-8333
835,1-7185
836,8-4709
837,6-0058
838,5-0130
839,7-1504
840,1-4215
841,7-7553
842,7-4105
843,8-2158
844,6-5872
845,8-3770
846,5-0291
847,5-3280
848,7-5876
849,3-7557
850,7-2092
851,2-6316
852,8-9792
853,8-0659
854,2-9292
855,5-2001
856,4-5942
857,7-3241
858,8-2515
859,7-9910
860,5-0401
861,7-1927
862,8-7646
863,7-9502
864,1-3443
865,1-0838
866,8-6368
867,2-6275
868,3-7909
869,8-9115
870,1-2617
871,6-4626
872,5-4915
873,1-7480
874,8-3318
875,1-7620
876,7-5770
877,4-7484
878,1-9910
879,6-9432
880,3-9871
881,3-4240
882,4-7885
883,1-5490
884,3-4667
885,5-1111
886,2-4781
887,7-2166
888,2-4240
889,2-8677
890,3-6986
891,5-4877
892,1-4773
893,7-9025
894,7-8193
895,1-8037
896,7-8814
897,6-0797
898,7-2658
899,1-3822
900,8-8922
901,5-4683
902,2-4173
903,4-0184
904,7-5092
905,8-1106
906,6-6850
907,5-9244
908,8-7862
909,1-7010
910,7-1211
911,2-8801
912,3-3750
913,5-6394
914,5-6669
915,2-8157
916,1-0479
917,8-5920
918,7-8181
919,3-0532
920,6-6106
921,1-1667
922,6-1808
923,5-2961
924,2-2735
925,3-3598
926,1-8042
927,7-4333
928,4-5960
929,7-8491
930,1-4858
931,7-8812
932,8-3327
933,3-7681
934,2-4596
935,6-1956
936,6-9273
937,6-6992
938,5-4195
939,3-9061
940,5-0259
941,8-0656
942,2-6119
943,3-2954
944,5-3396
945,3-6923
946,5-4113
947,3-5910
948,5-1511
949,1-4618
950,6-5741
951,2-9005
952,6-8401
953,2-7847
954,7-2077
955,2-3101
956,8-0993
957,8-3316
958,4-7054
959,8-5930
960,7-1374
961,1-8170
962,5-9454
963,4-5191
964,7-5178
965,5-9417
966,1-2112
967,3-9364
968,1-4111
969,4-5623
970,4-3752
971,6-2806
972,3-1916
973,8-8156
974,5-7630
975,1-2364
976,2-8197
977,5-1896
978,1-4951
979,4-0413
980,5-8206
981,1-2045
982,5-3567
983,4-7991
984,6-3557
985,6-7397
986,1-2679
987,4-1151
988,3-2192
989,6-1186
990,6-6460
991,7-6662
992,5-3010
993,4-4667
994,6-2544
995,4-9300
996,6-8677
997,5-7817
998,2-7210
999,4-1738
1000,6-0990
1001,6-4883
1002,5-4305
1003,4-2548
1004,5-1974
1005,4-2107
1006,4-8538
1007,6-9590
1008,6-2209
1009,2-9028
1010,7-8819
1011,1-3157
1012,2-8453
1013,5-6510
1014,8-4839
1015,2-0501
1016,6-9488
1017,7-2012
1018,8-1619
1019,3-0115
1020,1-2621
1021,7-3392
1022,1-5003
1023,6-3767
1024,5-1465
1025,4-1018
1026,8-0733
1027,7-5328
1028,8-8476
1029,1-6178
1030,2-8828
1031,4-0018
1032,5-8371
1033,6-2874
1034,4-1569
1035,5-2972
1036,7-7390
1037,4-0163
1038,4-1679
1039,8-5639
1040,2-0796
1041,2-6132
1042,5-1298
1043,8-6614
1044,1-4890
1045,1-9353
1046,4-2112
1047,2-5732
1048,6-9290
1049,2-2120
1050,8-4522
1051,6-2680
1052,1-2428
1053,1-9844
1054,7-7789
1055,3-9267
1056,4-2130
1057,5-3497
1058,3-5300
1059,7-1969
1060,1-6109
1061,4-8232
1062,3-9366
1063,5-2668
1064,2-9494
1065,1-8454
1066,4-9692
1067,3-5139
1068,2-5929
1069,4-7945
1070,3-5654
1071,7-5550
1072,8-6273
1073,4-7823
1074,6-8892
1075,4-1725
1076,3-7500
1077,6-2007
1078,5-0645
1079,3-4493
1080,4-1561
1081,3-7144
1082,8-5918
1083,6-6254
1084,8-2935
1085,2-7012
1086,6-9774
1087,2-3756
1088,5-2169
1089,1-1270
1090,7-2748
1091,4-0407
1092,2-1325
1093,6-4237
1094,7-6027
1095,8-6354
1096,1-7755
1097,7-2672
1098,2-7511
1099,5-7124
1100,6-6530
1101,5-0822
1102,5-0351
1103,8-8701
1104,2-6139
1105,7-6830
1106,5-7560
1107,4-2194
1108,7-4697
1109,6-9271
1110,4-8891
1111,7-7194
1112,1-0603
1113,8-1813
1114,6-3253
1115,8-9814
1116,3-0185
1117,8-6580
1118,4-8516
1119,8-2324
1120,7-4926
1121,5-9211
1122,2-2849
1123,8-2319
1124,6-7632
1125,2-2433
1126,4-8637
1127,2-9093
1128,1-2059
1129,3-9474
1130,4-7677
1131,3-0315
1132,6-2916
1133,1-0429
1134,6-2638
1135,1-1214
1136,7-4655
1137,2-3593
1138,3-3111
1139,7-0147
1140,5-4620
1141,3-3963
1142,1-1590
1143,6-5229
1144,5-6227
1145,2-9293
1146,4-8706
1147,7-6077
1148,8-5188
1149,6-0436
1150,4-6797
1151,7-4221
1152,2-2647
1153,8-7171
1154,6-7591
1155,4-6459
1156,1-3940
1157,6-4462
1158,3-9354
1159,1-8585
1160,1-9076
1161,4-1902
1162,4-4676
1163,6-9572
1164,8-8316
1165,6-9293
1166,5-6114
1167,6-3577
1168,3-1086
1169,3-0279
1170,3-4143
1171,3-1003
1172,3-7442
1173,4-3517
1174,5-9214
1175,6-7835
1176,2-9903
1177,5-6440
1178,4-6601
1179,2-4634
1180,1-7513
1181,7-8988
1182,8-1733
1183,7-1702
1184,8-4146
1185,2-8625
1186,5-1527
1187,4-5449
1188,8-4283
1189,7-9077
1190,4-7175
1191,1-2248
1192,2-1783
1193,2-4090
1194,2-1382
1195,3-5745
1196,8-0984
1197,6-5628
1198,7-3828
1199,2-0607
1200,1-1862
1201,6-5345
1202,5-5268
1203,1-8007
1204,2-3726
1205,3-4024
1206,1-3074
1207,8-0040
1208,2-5263
1209,4-0470
1210,2-1340
1211,2-3396
1212,5-5745
1213,2-9786
1214,1-6084
1215,4-8252
1216,5-9715
1217,4-4360
1218,7-9753
1219,2-4401
1220,6-4678
1221,7-9152
1222,4-5582
1223,5-1551
1224,8-5378
1225,2-9916
1226,7-8185
1227,2-3708
1228,4-7602
1229,7-4587
1230,7-0704
1231,1-2794
1232,5-8409
1233,4-9695
1234,2-9682
1235,1-9725
1236,8-1234
1237,7-1149
1238,3-7192
1239,5-8771
1240,3-8758
1241,4-0543
1242,4-3897
1243,3-9326
1244,7-8844
1245,2-9895
1246,8-3766
1247,8-2526
1248,5-7708
1249,8-0716
1250,6-0312
1251,2-7945
1252,8-5190
1253,8-0369
1254,3-2544
1255,7-7132
1256,7-8107
1257,5-0188
1258,6-9636
1259,1-0854
1260,1-4839
1261,4-5692
1262,4-6239
1263,2-1174
1264,7-6909
1265,7-1242
1266,2-6113
1267,8-3513
1268,2-7197
1269,7-7619
1270,3-0107
1271,1-2525
1272,4-2832
1273,2-0670
1274,7-6782
1275,2-1543
1276,8-6131
1277,7-7198
1278,7-8001
1279,1-9812
1280,2-1825
1281,3-2062
1282,7-8098
1283,5-6265
1284,6-2694
1285,8-0357
1286,7-5268
1287,6-4023
1288,5-9935
1289,4-6897
1290,2-4741
1291,4-8042
1292,8-7387
1293,2-4713
1294,3-6283
1295,4-4484
1296,7-4507
1297,3-5589
1298,7-5819
1299,8-6833
1300,4-2752
1301,3-6374
1302,1-9806
1303,4-3984
1304,6-4258
1305,3-3732
1306,8-1374
1307,4-4336
1308,1-2595
1309,7-9775
1310,7-6791
1311,8-2781
1312,8-8650
1313,4-6119
1314,4-7492
1315,5-0243
1316,5-7813
1317,1-7582
1318,2-7999
1319,7-4498
1320,6-3993
1321,7-5731
1322,5-6566
1323,2-7455
1324,1-6995
1325,7-1063
1326,2-6216
1327,2-2511
1328,1-5061
1329,5-3292
1330,5-4396
1331,6-5866
1332,6-8542
1333,4-0370
1334,2-3276
1335,8-3469
1336,4-4917
1337,7-0883
1338,2-3135
1339,7-3110
1340,4-5846
1341,6-0020
1342,6-4891
1343,7-6495
1344,2-8830
1345,1-0818
1346,4-4805
1347,6-1194
1348,1-1321
1349,4-7011
1350,8-1081
1351,1-2483
1352,8-4423
1353,5-2322
1354,4-8645
1355,4-6569
1356,4-9895
1357,2-7239
1358,4-9134
1359,8-4904
1360,4-3763
1361,2-9133
1362,4-5602
1363,1-8171
1364,5-8939
1365,4-5959
1366,3-2187
1367,7-0295
1368,7-9785
1369,1-3790
1370,6-0817
1371,4-2089
1372,3-2770
1373,6-3501
1374,5-7622
1375,8-7071
1376,8-3985
1377,5-2979
1378,6-1941
1379,5-9029
1380,3-0297
1381,3-9103
1382,2-9134
1383,6-0258
1384,5-9615
1385,1-9928
1386,6-9443
1387,6-9697
1388,3-9001
1389,7-9912
1390,5-7127
1391,5-9611
1392,7-6119
1393,1-2807
1394,3-7183
1395,1-7657
1396,3-0537
1397,2-0529
1398,1-7631
1399,7-5717
1400,8-0203
1401,4-2401
1402,7-3420
1403,7-8757
1404,6-8620
1405,1-4528
1406,6-1555
1407,6-7806
1408,8-7442
1409,7-5678
1410,7-2665
1411,7-6450
1412,2-9553
1413,3-4185
1414,8-1634
1415,7-3097
1416,4-3233
1417,8-9720
1418,1-5054
1419,7-5065
1420,2-6947
1421,1-5305
1422,1-3530
1423,1-3415
1424,3-4604
1425,7-6754
1426,2-8094
1427,5-0799
1428,2-6719
1429,8-3661
1430,3-6728
1431,8-6070
1432,1-9730
1433,8-5760
1434,2-9385
1435,3-7162
1436,7-2932
1437,5-8760
1438,5-2367
1439,8-1948
1440,4-5812
1441,5-9737
1442,2-2104
1443,6-9823
1444,2-5223
1445,1-7502
1446,3-9763
1447,4-2771
1448,1-3945
1449,5-2250
1450,6-1999
1451,4-9950
1452,8-1637
1453,5-4405
1454,8-5003
1455,6-0209
1456,3-1045
1457,5-1973
1458,1-5979
1459,4-6798
1460,7-5789
1461,2-4984
1462,1-9266
1463,8-1414
1464,5-4796
1465,6-1865
1466,3-7960
1467,1-7281
1468,8-3449
1469,1-5375
1470,5-8390
1471,4-0151
1472,3-1675
1473,8-0775
1474,1-4453
1475,7-2294
1476,3-6472
1477,6-6084
1478,3-0766
1479,2-0745
1480,8-0112
1481,3-3135
1482,3-5043
1483,5-8286
1484,8-8183
1485,5-1423
1486,4-7130
1487,7-9903
1488,8-2866
1489,4-0148
1490,8-8717
1491,1-9038
1492,6-9217
1493,5-2323
1494,3-7249
1495,3-6329
1496,4-5287
1497,2-3604
1498,4-3954
1499,5-0028
1500,2-5340
1501,7-6088
1502,6-6626
1503,7-1857
1504,4-0645
1505,1-6592
1506,3-1865
1507,8-0129
1508,4-1121
1509,4-7317
1510,7-5490
1511,1-4199
1512,3-5533
1513,2-2569
1514,7-6179
1515,1-3242
1516,6-9026
1517,1-4071
1518,3-3978
1519,8-9301
1520,2-1329
1521,7-0977
1522,3-2115
1523,4-1166
1524,8-4984
1525,5-2758
1526,8-7060
1527,5-6264
1528,2-8243
1529,2-7236
1530,6-3824
1531,3-1386
1532,3-3358
1533,1-3249
1534,1-2073
1535,8-0629
1536,7-8222
1537,1-3867
1538,3-1681
1539,8-7471
1540,6-6008
1541,8-4447
1542,3-0237
1543,6-3855
1544,4-2851
1545,3-7196
1546,2-0969
1547,8-8539
1548,5-2274
1549,3-7755
1550,7-1588
1551,6-2697
1552,3-5865
1553,6-1903
1554,6-3394
1555,1-8669
1556,3-6253
1557,6-0152
1558,2-4772
1559,8-9453
1560,5-7271
1561,1-5797
1562,1-5897
1563,7-2128
1564,6-9397
1565,8-4933
1566,2-7677
1567,6-6223
1568,1-8980
1569,2-9371
1570,5-6374
1571,2-6887
1572,3-8424
1573,6-4518
1574,2-9265
1575,4-9421
1576,4-3644
1577,2-8963
1578,8-4894
1579,8-3041
1580,7-7518
1581,2-5987
1582,6-3433
1583,7-2609
1584,8-1198
1585,3-0815
1586,4-9867
1587,8-7859
1588,6-9444
1589,7-1813
1590,2-1763
1591,6-6289
1592,5-1779
1593,5-1080
1594,1-8621
1595,1-1945
1596,2-0853
1597,5-5496
1598,5-9883
1599,7-5530
1600,4-5824
1601,5-9349
1602,1-9090
1603,5-6718
1604,6-8825
1605,6-5254
1606,2-1434
1607,5-3356
1608,6-2458
1609,3-4334
1610,3-8763
1611,3-4850
1612,2-0024
1613,7-4734
1614,5-1859
1615,7-9140
1616,8-8432
1617,2-1939
1618,8-6859
1619,1-5236
1620,6-5025
1621,7-7441
1622,8-5732
1623,3-9730
1624,8-0231
1625,3-8015
1626,8-6242
1627,7-3773
1628,5-8212
1629,1-9781
1630,1-9513
1631,2-5510
1632,1-0019
1633,4-9883
1634,2-7959
1635,6-8956
1636,3-1424
1637,8-9729
1638,4-8523
1639,8-7149
1640,5-4057
1641,5-4684
1642,2-5575
1643,2-4436
1644,3-6236
1645,6-5098
1646,7-9548
1647,1-8393
1648,1-9642
1649,5-5000
1650,4-8517
1651,8-3166
1652,6-6802
1653,3-2606
1654,2-8592
1655,3-2393
1656,7-8320
1657,3-7710
1658,6-3513
1659,8-1155
1660,5-3366
1661,4-9914
1662,8-1821
1663,2-6054
1664,8-1304
1665,7-6661
1666,7-8221
1667,4-0758
1668,7-2877
1669,4-2131
1670,6-0865
1671,5-3631
1672,5-9697
1673,8-8762
1674,6-9895
1675,7-0429
1676,1-5549
1677,8-0686
1678,6-8316
1679,8-8600
1680,3-1871
1681,3-6607
1682,1-9358
1683,1-0073
1684,2-7583
1685,8-7325
1686,2-6268
1687,1-8731
1688,7-6547
1689,3-6024
1690,7-8781
1691,3-2631
1692,1-6427
1693,7-0498
1694,1-8403
1695,7-2947
1696,1-6417
1697,4-9558
1698,4-9649
1699,5-8613
1700,1-2062
1701,2-5306
1702,5-1307
1703,8-0996
1704,6-3602
1705,4-4654
1706,4-4313
1707,1-4140
1708,4-2172
1709,5-6967
1710,1-2316
1711,1-3392
1712,1-0697
1713,2-7963
1714,2-7483
1715,1-6974
1716,4-6986
1717,1-3850
1718,4-8548
1719,8-8556
1720,4-1867
1721,4-3991
1722,8-3713
1723,5-4222
1724,8-4144
1725,2-1378
1726,2-6382
1727,7-0906
1728,7-9790
1729,2-7729
1730,3-1259
1731,5-5437
1732,1-3899
1733,6-1972
1734,6-6470
1735,4-3938
1736,8-0396
1737,3-2669
1738,2-6614
1739,8-3549
1740,6-0390
1741,5-7438
1742,4-7634
1743,6-3488
1744,1-7612
1745,6-6286
1746,2-1830
1747,6-2587
1748,7-9117
1749,8-4875
1750,3-2307
1751,3-0269
1752,7-9382
1753,1-3716
1754,8-8324
1755,2-5320
1756,7-6113
1757,8-2975
1758,7-5365
1759,5-9311
1760,5-8128
1761,7-3924
1762,3-3988
1763,3-3837
1764,4-4359
1765,5-0068
1766,7-1783
1767,4-8386
1768,5-6883
1769,1-0987
1770,2-8494
1771,4-3394
1772,2-3402
1773,1-6305
1774,7-3061
1775,6-8648
1776,2-4823
1777,4-3041
1778,6-3367
1779,6-7789
1780,3-1608
1781,8-5643
1782,7-2887
1783,8-9154
1784,5-0627
1785,7-9267
1786,1-2711
1787,6-9792
1788,5-0681
1789,8-8402
1790,8-1183
1791,1-9684
1792,8-0246
1793,8-6461
1794,6-9173
1795,4-4815
1796,5-3347
1797,7-4622
1798,6-0086
1799,4-1007
1800,7-9642
1801,5-1183
1802,1-4747
1803,7-9834
1804,5-4289
1805,2-5873
1806,2-5773
1807,8-9615
1808,8-3311
1809,1-7268
1810,2-9394
1811,5-5025
1812,1-0606
1813,1-6319
1814,1-4289
1815,7-7496
1816,3-0284
1817,6-7356
1818,6-9576
1819,2-4126
1820,7-3493
1821,1-1487
1822,4-6186
1823,1-7533
1824,5-0324
1825,3-5479
1826,8-1141
1827,2-8702
1828,4-9226
1829,5-8237
1830,3-2171
1831,7-1585
1832,3-4059
1833,6-7714
1834,2-5474
1835,5-3511
1836,2-7922
1837,7-5019
1838,1-6264
1839,8-1357
1840,6-1489
1841,2-4845
1842,4-9628
1843,4-0545
1844,5-1017
1845,8-8199
1846,3-2688
1847,5-5129
1848,5-0579
1849,4-8907
1850,5-6807
1851,5-7213
1852,8-7401
1853,5-0657
1854,2-9188
1855,1-5820
1856,7-3532
1857,2-6144
1858,3-7416
1859,8-1440
1860,6-0988
1861,6-9719
1862,1-1000
1863,1-3150
1864,3-4299
1865,5-8800
1866,6-6220
1867,4-7597
1868,2-6472
1869,1-0123
1870,8-8851
1871,5-0515
1872,1-0213
1873,1-1925
