,lead
945,7-1326
946,2-2787
947,1-2488
948,8-0841
949,8-9144
950,8-2953
951,1-6260
952,4-0263
953,6-4494
954,4-1381
955,2-3460
956,6-0665
957,3-6438
958,8-1921
959,3-0490
960,4-8878
961,6-6010
962,2-9672
963,3-5093
964,7-5789
965,4-7599
966,5-6598
967,2-6719
968,1-0957
969,4-7811
970,8-4216
971,4-3483
972,4-5598
973,4-8486
974,1-1587
975,3-6607
976,5-6593
977,1-6673
978,2-5658
979,4-5178
980,3-8499
981,3-4896
982,3-8717
983,2-4395
984,8-7024
985,4-6195
986,1-5235
987,4-3848
988,4-8032
989,6-6648
990,5-9920
991,5-1699
992,8-8063
993,3-0036
994,2-1004
995,3-3738
996,3-3279
997,2-2154
998,7-1848
999,3-0249
1000,4-5641
1001,3-3870
1002,3-7946
1003,8-6436
1004,7-0411
1005,7-7008
1006,4-0769
1007,3-1347
1008,6-8711
1009,8-6743
1010,7-2585
1011,5-6018
1012,4-2205
1013,4-1087
1014,1-4696
1015,3-2049
1016,5-4157
1017,6-1159
1018,8-6209
1019,8-9254
1020,8-6423
1021,1-7534
1022,1-0899
1023,8-2593
1024,4-0988
1025,7-2597
1026,5-4082
1027,2-6987
1028,2-5248
1029,1-7075
1030,5-0880
1031,8-7133
1032,1-6180
1033,3-9160
1034,1-7081
1035,2-5144
1036,2-3463
1037,3-6785
1038,4-9603
1039,5-3353
1040,1-4427
1041,8-4436
1042,7-0334
1043,5-6549
1044,6-3071
1045,6-9306
1046,8-1119
1047,5-8202
1048,5-3607
1049,4-4697
1050,4-2327
1051,4-1408
1052,7-1076
1053,6-9826
1054,4-3539
1055,3-5640
1056,2-8106
1057,8-4905
1058,3-8319
1059,2-6494
1060,5-3428
1061,6-1456
1062,1-3671
1063,7-8711
1064,4-3980
1065,4-9757
1066,8-3209
1067,4-5238
1068,3-1838
1069,1-1163
1070,3-9022
1071,4-9829
1072,6-1696
1073,8-8728
1074,6-5637
1075,3-1702
1076,2-2631
1077,1-4429
1078,8-2667
1079,4-7747
1080,3-9537
1081,4-5938
1082,2-9685
1083,3-9746
1084,3-3992
1085,5-0675
1086,1-6010
1087,5-2286
1088,8-3623
1089,4-7897
1090,3-7020
1091,7-0496
1092,6-7353
1093,2-1292
1094,5-5869
1095,8-7824
1096,3-3065
1097,4-1804
1098,2-2851
1099,4-1670
1100,3-3372
1101,8-8457
1102,3-0139
1103,8-3886
1104,8-0271
1105,8-9842
1106,2-5279
1107,1-9813
1108,1-7930
1109,8-4659
1110,7-9116
1111,2-8236
1112,7-1925
1113,7-6991
1114,5-6379
1115,5-0637
1116,1-2531
1117,1-3984
1118,1-3607
1119,6-8220
1120,2-5525
1121,3-1879
1122,6-2389
1123,2-1183
1124,6-1083
1125,5-3943
1126,1-4307
1127,8-0080
1128,3-2115
1129,2-0115
1130,6-5773
1131,6-5434
1132,8-3967
1133,3-5604
1134,1-3012
1135,5-0782
1136,5-4350
1137,3-7393
1138,8-2256
1139,7-2905
1140,7-5641
1141,4-5481
1142,1-5747
1143,5-0003
1144,4-0115
1145,2-9728
1146,3-9143
1147,6-8381
1148,5-2170
1149,7-8153
1150,8-3497
1151,1-8513
1152,7-2262
1153,3-2733
1154,6-0410
1155,6-6954
1156,5-6741
1157,2-9309
1158,8-6077
1159,7-7905
1160,2-1132
1161,4-8076
1162,1-7432
1163,8-2934
1164,6-6015
1165,1-9710
1166,2-5512
1167,5-9722
1168,6-7437
1169,5-2510
1170,6-4115
1171,6-2306
1172,6-0205
1173,2-5398
1174,3-8530
1175,6-1953
1176,6-3386
1177,6-2906
1178,5-5897
1179,6-2436
1180,5-0531
1181,6-4216
1182,3-3753
1183,4-8792
1184,3-0273
1185,5-8703
1186,3-6088
1187,4-6900
1188,6-1810
1189,5-5083
1190,2-1976
1191,7-3281
1192,3-4835
1193,3-7665
1194,7-8900
1195,5-5568
1196,8-0592
1197,7-3791
1198,4-2006
1199,2-7794
1200,5-6350
1201,4-0688
1202,4-0030
1203,5-5653
1204,4-9281
1205,5-4988
1206,5-9545
1207,4-1418
1208,1-7767
1209,2-6243
1210,8-8662
1211,5-5996
1212,3-0323
1213,3-0126
1214,5-7148
1215,4-1923
1216,3-8026
1217,2-9803
1218,4-0206
1219,8-1282
1220,8-9902
1221,2-7025
1222,3-7441
1223,5-3764
1224,6-4285
1225,2-4829
1226,2-6661
1227,2-7209
1228,4-1430
1229,8-2586
1230,7-0818
1231,7-4714
1232,6-2557
1233,7-9318
1234,7-4338
1235,4-9921
1236,5-5608
1237,4-8342
1238,6-8180
1239,4-8948
1240,2-5271
1241,3-1065
1242,8-5926
1243,6-4802
1244,3-3670
1245,5-5362
1246,1-8101
1247,2-3098
1248,1-8266
1249,7-7437
1250,8-6194
1251,4-8097
1252,3-5721
1253,4-4700
1254,8-9551
1255,8-5614
1256,1-0541
1257,7-2081
1258,8-0630
1259,8-2780
1260,3-2026
1261,1-4226
1262,2-7480
1263,8-4368
1264,7-0091
1265,1-8650
1266,5-6988
1267,6-9165
1268,7-1290
1269,3-9802
1270,3-7763
1271,4-3562
1272,1-3697
1273,6-7928
1274,3-7209
1275,8-2141
1276,6-1133
1277,8-7974
1278,7-7865
1279,2-4124
1280,7-0982
1281,4-7195
1282,8-7280
1283,2-3158
1284,8-5704
1285,5-2738
1286,7-7223
1287,2-5160
1288,3-3787
1289,6-8898
1290,2-6332
1291,8-9573
1292,5-2882
1293,5-2418
1294,8-4640
1295,8-4254
1296,2-8455
1297,3-8790
1298,4-7103
1299,3-4757
1300,3-4006
1301,7-2653
1302,3-3551
1303,4-3294
1304,8-6824
1305,7-2703
1306,2-4812
1307,1-9070
1308,7-2928
1309,2-2269
1310,5-4128
1311,3-5252
1312,2-6193
1313,2-0560
1314,6-1742
1315,4-2653
1316,1-1841
1317,7-4138
1318,7-1628
1319,3-5815
1320,3-7503
1321,6-3871
1322,7-0198
1323,6-7246
1324,7-9416
1325,1-5334
1326,4-5952
1327,5-2710
1328,3-5209
1329,6-9048
1330,3-8544
1331,3-2822
1332,4-6601
1333,2-8692
1334,7-5209
1335,6-4814
1336,1-3863
1337,4-4978
1338,8-9998
1339,2-4653
1340,3-0890
1341,2-1849
1342,1-0038
1343,4-7927
1344,3-1826
1345,1-0997
1346,3-1438
1347,7-0916
1348,3-2408
1349,4-6970
1350,2-5890
1351,8-7830
1352,2-6414
1353,2-4359
1354,2-6161
1355,3-5456
1356,3-4472
1357,1-0161
1358,5-4110
1359,6-2308
1360,8-3366
1361,5-9838
1362,6-7480
1363,1-6496
1364,6-9896
1365,6-4096
1366,5-0773
1367,5-7722
1368,1-2043
1369,5-5935
1370,2-7443
1371,4-0185
1372,2-5390
1373,4-5018
1374,4-8344
1375,1-4069
1376,8-3657
1377,6-6637
1378,7-0030
1379,7-9110
1380,1-2733
1381,4-7217
1382,6-3968
1383,1-5057
1384,2-8863
1385,4-9961
1386,6-9970
1387,1-0232
1388,2-6582
1389,5-7941
1390,7-9731
1391,8-5667
1392,3-9192
1393,1-7461
1394,2-3594
1395,3-9679
1396,7-0486
1397,8-1419
1398,4-2046
1399,5-7509
1400,3-4031
1401,1-9324
1402,7-1192
1403,7-8458
1404,6-5156
1405,4-9120
1406,4-7236
1407,5-8658
1408,5-0061
1409,6-9126
1410,3-2549
1411,3-6172
1412,4-0998
1413,5-6863
1414,1-2102
1415,3-4562
1416,2-8633
1417,2-5242
1418,4-9064
1419,4-3319
1420,2-5331
1421,6-8699
1422,8-4157
1423,1-4589
1424,6-2872
1425,6-8766
1426,1-6144
1427,1-0630
1428,2-6111
1429,7-3547
1430,1-1429
1431,2-6842
1432,5-4725
1433,7-2016
1434,4-0814
1435,7-3241
1436,2-4990
1437,5-8725
1438,3-4122
1439,7-0387
1440,7-9872
1441,6-0292
1442,2-5628
1443,2-0782
1444,2-3763
1445,2-0317
1446,5-9988
1447,4-2482
1448,1-4990
1449,2-6809
1450,6-5834
1451,2-2469
1452,1-2662
1453,4-6240
1454,6-0219
1455,6-8210
1456,1-3056
1457,1-5656
1458,2-0583
1459,7-3969
1460,6-0591
1461,4-5940
1462,5-7021
1463,1-6285
1464,4-3534
1465,8-9095
1466,6-3961
1467,6-2024
1468,6-9395
1469,6-9880
1470,3-5803
1471,1-2451
1472,5-0931
1473,8-6557
1474,1-7221
1475,2-1789
1476,1-3582
1477,5-9254
1478,7-9022
1479,4-3613
1480,6-9743
1481,5-3651
1482,1-2909
1483,3-0091
1484,1-3676
1485,4-7949
1486,4-5148
1487,8-6517
1488,4-1693
1489,2-2619
1490,5-1759
1491,4-1508
1492,8-4268
1493,5-2513
1494,8-6296
1495,3-1251
1496,6-0654
1497,8-9827
1498,4-4905
1499,2-6918
1500,5-0978
1501,1-9302
1502,3-4218
1503,8-5313
1504,8-8244
1505,8-2112
1506,2-6609
1507,4-0991
1508,6-0991
1509,4-6417
1510,3-9079
1511,5-6244
1512,8-7819
1513,8-3239
1514,1-3287
1515,1-1034
1516,2-9834
1517,2-4147
1518,5-7458
1519,2-8432
1520,2-4711
1521,1-2885
1522,8-6623
1523,6-8553
1524,4-8713
1525,7-5310
1526,2-5861
1527,7-3255
1528,2-7093
1529,4-3128
1530,1-1574
1531,2-1023
1532,4-4616
1533,1-1532
1534,4-9434
1535,8-3986
1536,7-2599
1537,4-6018
1538,4-9508
1539,7-4724
1540,8-8296
1541,6-1545
1542,5-0991
1543,2-9487
1544,1-5719
1545,8-1854
1546,8-1634
1547,6-8990
1548,5-7541
1549,4-2456
1550,6-6993
1551,5-8704
1552,6-0561
1553,1-7393
1554,5-3187
1555,1-8295
1556,8-4498
1557,5-6648
1558,2-6849
1559,3-7542
1560,2-4968
1561,6-3041
1562,4-1130
1563,8-7351
1564,1-7707
1565,2-9301
1566,6-8092
1567,2-7815
1568,6-1941
1569,5-2366
1570,5-2205
1571,1-3371
1572,6-2375
1573,5-4624
1574,2-5783
1575,3-2293
1576,5-1307
1577,4-8950
1578,5-4689
1579,7-2376
1580,8-4938
1581,1-6387
1582,5-0136
1583,4-6050
1584,6-7689
1585,8-0865
1586,4-4493
1587,8-3604
1588,3-2465
1589,1-8433
1590,6-8181
1591,6-9671
1592,1-9715
1593,7-7802
1594,3-6354
1595,2-6762
1596,3-2318
1597,5-0463
1598,6-4931
1599,3-2401
1600,7-8404
1601,6-1911
1602,5-4011
1603,8-7662
1604,3-7275
1605,6-0880
1606,2-2988
1607,5-6872
1608,1-3604
1609,1-4665
1610,2-1533
1611,5-7974
1612,3-3457
1613,2-3231
1614,4-7744
1615,7-3174
1616,2-4853
1617,7-1800
1618,6-1195
1619,7-9499
1620,4-6203
1621,1-5087
1622,4-6057
1623,2-6720
1624,7-2034
1625,1-0075
1626,3-3382
1627,3-0041
1628,6-3443
1629,7-4050
1630,2-2651
1631,6-8123
1632,1-0275
1633,7-1251
1634,6-3388
1635,3-9161
1636,4-6906
1637,8-8491
1638,3-8590
1639,7-1546
1640,6-8579
1641,7-0967
1642,6-4000
1643,2-7886
1644,3-3142
1645,7-2186
1646,6-2373
1647,1-2184
1648,3-3699
1649,6-5675
1650,3-1778
1651,4-3561
1652,7-2753
1653,6-2160
1654,5-3579
1655,6-3368
1656,4-2368
1657,8-0922
1658,1-0111
1659,1-2150
1660,8-2444
1661,4-5721
1662,6-3542
1663,4-3288
1664,6-6147
1665,1-8422
1666,2-5036
1667,7-7217
1668,7-1780
1669,3-9532
1670,1-2296
1671,6-4866
1672,4-4374
1673,8-5640
1674,2-8075
1675,1-2870
1676,8-3946
1677,5-2504
1678,7-1282
1679,4-7510
1680,4-2072
1681,2-7530
1682,8-3677
1683,7-7229
1684,4-6792
1685,8-9671
1686,8-0038
1687,4-7190
1688,2-2614
1689,3-6388
1690,3-6367
1691,6-1006
1692,8-0771
1693,2-2781
1694,3-5296
1695,1-0626
1696,1-5584
1697,7-7299
1698,7-0192
1699,7-7930
1700,1-1164
1701,8-9742
1702,7-0109
1703,4-5644
1704,3-8171
1705,3-8492
1706,8-0930
1707,7-3010
1708,8-9538
1709,5-8534
1710,7-6201
1711,3-6466
1712,8-1561
1713,2-4298
1714,8-5172
1715,1-5684
1716,4-2882
1717,4-3686
1718,8-0095
1719,4-3590
1720,5-7894
1721,2-8856
1722,2-2542
1723,2-2495
1724,2-5213
1725,8-4749
1726,5-5889
1727,1-0898
1728,5-4343
1729,3-6597
1730,5-6585
1731,8-8049
1732,6-4238
1733,5-3092
1734,3-5540
1735,5-5563
1736,8-0480
1737,5-9724
1738,3-5763
1739,5-6281
1740,1-9717
1741,2-5409
1742,2-6304
1743,7-1819
1744,3-5243
1745,1-1244
1746,8-9326
1747,7-0174
1748,1-6593
1749,7-4141
1750,3-3541
1751,2-6548
1752,3-3767
1753,5-9653
1754,2-9622
1755,3-6204
1756,1-9573
1757,2-0091
1758,7-4406
1759,8-0714
1760,7-3838
1761,7-3057
1762,4-9095
1763,4-1621
1764,1-1761
1765,5-2544
1766,5-7471
1767,6-2831
1768,6-3882
1769,1-2761
1770,2-8810
1771,7-3069
1772,8-7686
1773,2-0713
1774,6-3371
1775,2-1323
1776,2-0664
1777,1-0461
1778,8-2202
1779,3-0744
1780,8-9987
1781,3-2322
1782,6-8245
1783,5-9856
1784,6-5794
1785,2-4455
1786,8-6681
1787,5-9886
1788,6-1611
1789,3-2536
1790,6-6405
1791,7-4279
1792,2-3610
1793,5-4198
1794,8-5954
1795,2-2216
1796,5-8445
1797,1-4228
1798,5-3061
1799,7-9226
1800,5-6829
1801,5-6167
1802,5-3857
1803,3-2300
1804,7-1536
1805,7-2910
1806,6-4252
1807,1-0452
1808,1-3761
1809,2-5118
1810,1-4002
1811,2-2923
1812,8-7970
1813,3-0642
1814,6-8371
1815,6-3157
1816,6-9098
1817,2-7200
1818,1-4764
1819,7-9261
1820,4-2862
1821,7-3486
1822,1-0383
1823,8-5833
1824,3-2291
1825,5-1622
1826,6-2625
1827,8-4064
1828,5-7718
1829,7-7849
1830,1-8400
1831,6-4805
1832,1-5714
1833,6-2953
1834,4-8566
1835,7-1033
1836,7-2939
1837,4-6543
1838,2-0959
1839,8-5013
1840,7-6555
1841,6-7983
1842,7-0649
1843,7-5580
1844,3-1980
1845,3-2849
1846,1-4114
1847,5-5448
1848,8-2612
1849,1-1527
1850,8-1806
1851,5-3871
1852,2-5327
1853,1-5020
1854,6-8949
1855,3-5102
1856,3-8728
1857,4-7871
1858,4-6928
1859,8-4429
1860,2-1300
1861,2-3575
1862,2-5034
1863,8-0223
1864,6-5519
1865,5-5927
1866,1-5533
1867,5-1239
1868,3-6654
1869,1-6438
1870,8-3855
1871,1-3070
1872,3-9576
1873,6-3947
