,lead
336,6-4768
337,8-3798
338,4-1373
339,8-3716
340,2-0969
341,4-0060
342,2-3804
343,6-6012
344,6-5591
345,1-1735
346,6-3390
347,1-4893
348,8-3282
349,2-4061
350,4-7694
351,1-4911
352,8-6262
353,6-3247
354,2-9923
355,3-6800
356,2-8465
357,7-7345
358,5-8651
359,1-4778
360,3-5994
361,2-1184
362,2-3130
363,8-3528
364,7-0652
365,4-8854
366,7-6103
367,6-3888
368,8-0702
369,5-7402
370,7-4128
371,2-2542
372,2-4146
373,7-3140
374,4-0115
375,2-0414
376,6-1537
377,5-0044
378,6-6239
379,3-7014
380,1-4653
381,3-7567
382,6-0906
383,7-7635
384,3-5433
385,2-6467
386,7-5501
387,2-1342
388,5-9655
389,7-2165
390,4-4727
391,7-7566
392,1-4529
393,7-8059
394,5-8167
395,1-3196
396,7-2704
397,5-7748
398,6-6967
399,6-1604
400,3-9312
401,1-1413
402,2-0839
403,3-8764
404,4-8295
405,7-5234
406,1-6744
407,1-9814
408,3-3039
409,7-2267
410,7-1653
411,5-1622
412,8-7864
413,6-2124
414,6-9720
415,5-1680
416,5-2584
417,7-2705
418,3-7190
419,5-6530
420,3-7305
421,6-3002
422,8-3001
423,1-1635
424,3-3899
425,4-9210
426,7-4193
427,8-8873
428,4-0723
429,5-4646
430,7-2761
431,1-4187
432,6-8154
433,1-7390
434,6-2263
435,3-4804
436,1-6509
437,5-2644
438,3-7205
439,2-0258
440,8-9947
441,5-0618
442,6-0522
443,7-8380
444,5-7553
445,8-0589
446,2-6299
447,5-5857
448,5-6309
449,7-6152
450,6-3600
451,4-3451
452,4-2275
453,3-7183
454,7-1245
455,6-7888
456,6-5373
457,7-8199
458,8-9286
459,6-4738
460,8-8635
461,2-0582
462,8-5682
463,7-1780
464,5-7790
465,6-5003
466,8-9471
467,3-5913
468,6-8034
469,6-2328
470,5-9537
471,2-9200
472,1-4684
473,4-0620
474,4-5349
475,4-8056
476,7-2892
477,8-3989
478,4-5001
479,4-3503
480,3-1902
481,2-3069
482,8-0613
483,2-9971
484,8-4919
485,7-9612
486,3-0274
487,5-0415
488,3-4589
489,6-3258
490,3-3250
491,8-0378
492,4-7503
493,5-7284
494,4-3705
495,3-2160
496,8-0801
497,1-9422
498,8-5070
499,4-6677
500,8-4118
501,2-2917
502,3-1082
503,8-3397
504,7-5160
505,4-4168
506,1-1028
507,2-3351
508,7-7163
509,1-6017
510,8-9161
511,8-3441
512,5-6378
513,5-2871
514,8-4501
515,8-8234
516,3-0790
517,2-7535
518,1-3499
519,4-3681
520,8-7088
521,3-6239
522,6-3637
523,3-5437
524,2-4415
525,3-7557
526,5-5333
527,5-1917
528,7-3004
529,6-2369
530,8-5410
531,4-4476
532,3-3332
533,4-9947
534,8-8780
535,8-6808
536,2-7072
537,6-0351
538,2-3379
539,8-2524
540,7-1327
541,4-7775
542,5-9930
543,7-4133
544,8-7617
545,2-2259
546,6-8886
547,8-1485
548,5-8014
549,3-0522
550,8-0595
551,7-5759
552,1-3206
553,5-7377
554,3-6081
555,8-0953
556,4-3089
557,4-6779
558,4-1345
559,2-3427
560,3-4975
561,2-5068
562,3-1579
563,2-3408
564,1-1957
565,5-8810
566,6-1117
567,4-4306
568,3-7543
569,2-5109
570,5-0970
571,4-7603
572,2-2480
573,5-3565
574,4-6741
575,1-0708
576,3-7895
577,3-5821
578,6-9745
579,7-6304
580,5-2158
581,3-4433
582,6-0769
583,1-0279
584,8-4241
585,3-8847
586,3-0094
587,4-4269
588,5-4098
589,4-0209
590,3-6962
591,5-1546
592,5-1422
593,3-3605
594,5-7633
595,1-6748
596,3-4460
597,2-8507
598,6-0881
599,5-2860
600,7-8723
601,1-3570
602,2-8561
603,2-9765
604,5-8617
605,7-5402
606,5-3433
607,2-2437
608,6-4597
609,7-8746
610,7-2311
611,1-6700
612,8-0100
613,5-6676
614,5-5907
615,4-6900
616,1-2249
617,3-5060
618,5-9193
619,5-7993
620,3-1464
621,3-2970
622,7-1751
623,1-5823
624,5-0608
625,7-3208
626,7-4696
627,1-0987
628,3-3695
629,2-6704
630,4-3957
631,2-0719
632,6-8971
633,3-5833
634,6-1454
635,7-8698
636,3-7819
637,7-3609
638,5-2943
639,6-0556
640,8-8883
641,4-6206
642,8-6380
643,8-9646
644,4-2195
645,5-9367
646,6-6584
647,8-4071
648,6-6653
649,8-4766
650,7-4601
651,3-7704
652,7-8634
653,2-4252
654,5-2497
655,2-3184
656,2-7875
657,1-9342
658,7-3397
659,2-6359
660,3-5917
661,8-5775
662,6-1175
663,1-8802
664,1-9965
665,2-9922
666,4-2543
667,5-5432
668,3-5689
669,4-4197
670,4-0545
671,6-5980
672,8-9962
673,4-7442
674,3-5096
675,8-4714
676,6-8289
677,3-6556
678,4-1026
679,4-0665
680,2-5065
681,2-0718
682,3-3290
683,6-7722
684,5-6545
685,8-0677
686,8-6563
687,2-2537
688,2-7673
689,7-1754
690,3-1468
691,6-2208
692,4-4949
693,1-9323
694,7-7772
695,2-3114
696,6-0079
697,6-0992
698,6-8392
699,6-2687
700,8-9194
701,2-9769
702,4-3510
703,5-3217
704,5-3775
705,5-6532
706,2-6279
707,1-7001
708,7-1546
709,4-9501
710,6-4797
711,2-2970
712,4-3490
713,2-0373
714,6-2641
715,7-3205
716,8-4221
717,7-0150
718,1-4582
719,5-2881
720,1-4071
721,5-1808
722,5-8850
723,1-2966
724,4-1874
725,2-8954
726,2-3120
727,1-2305
728,8-0444
729,5-3255
730,3-9501
731,3-4778
732,3-3162
733,3-3295
734,7-1966
735,4-8622
736,1-1664
737,7-6760
738,1-9375
739,7-6100
740,7-3121
741,6-4089
742,7-0256
743,6-9011
744,5-0109
745,8-5400
746,3-9364
747,5-7270
748,1-4576
749,5-8790
750,5-8116
751,6-6930
752,2-1530
753,5-8287
754,7-3293
755,2-2249
756,7-1485
757,6-7965
758,2-3332
759,2-0927
760,8-5874
761,8-2370
762,6-8086
763,7-6247
764,3-8687
765,2-6361
766,6-1114
767,2-8887
768,4-4375
769,2-5610
770,3-8134
771,2-4533
772,3-4323
773,1-6998
774,7-3475
775,7-1579
776,7-1481
777,1-3480
778,5-7250
779,8-1221
780,4-7088
781,3-2161
782,7-6587
783,1-3371
784,8-1094
785,1-6483
786,6-5340
787,8-3384
788,5-9548
789,1-1058
790,3-6121
791,3-1565
792,3-0786
793,2-6082
794,5-0151
795,3-5252
796,6-2261
797,1-2518
798,8-5275
799,3-4298
800,5-9211
801,3-9137
802,6-7059
803,8-1930
804,2-2536
805,1-5260
806,5-6149
807,4-0261
808,5-0218
809,1-3491
810,3-7403
811,7-6283
812,6-9887
813,8-4852
814,1-3484
815,4-8081
816,5-3025
817,5-3462
818,5-0495
819,2-3861
820,1-5032
821,8-5314
822,8-9678
823,8-8155
824,5-3848
825,3-8508
826,5-8838
827,8-9698
828,4-9541
829,7-5514
830,3-4912
831,5-8459
832,3-9570
833,8-6690
834,5-1055
835,1-9052
836,8-9596
837,8-7797
838,6-0584
839,1-3213
840,4-2113
841,3-5731
842,2-6815
843,1-7197
844,4-8072
845,2-7422
846,7-7388
847,2-5028
848,2-3399
849,6-5676
850,3-9355
851,6-6834
852,1-1185
853,4-9285
854,7-6209
855,7-8308
856,3-6758
857,5-9430
858,2-1434
859,4-7198
860,7-5672
861,8-2381
862,5-9633
863,6-1509
864,7-1548
865,8-6153
866,7-7898
867,3-0507
868,7-9238
869,6-2061
870,4-5409
871,3-0319
872,7-1553
873,7-6602
874,2-2959
875,5-6875
876,5-4473
877,4-5276
878,2-9265
879,5-8646
880,8-1075
881,8-5625
882,5-2472
883,1-8852
884,8-3986
885,3-5704
886,1-1548
887,1-1284
888,8-1189
889,6-2513
890,8-5509
891,7-2329
892,8-8274
893,5-0394
894,4-6937
895,2-3934
896,2-6123
897,4-9710
898,6-9095
899,2-8387
900,5-0881
901,1-7479
902,6-4418
903,7-9651
904,3-7407
905,2-9013
906,8-8563
907,7-6566
908,8-0061
909,7-1584
910,7-0279
911,4-4942
912,3-2824
913,7-4943
914,4-6039
915,2-0328
916,8-7153
917,2-9081
918,2-0443
919,5-0286
920,2-1661
921,3-7798
922,3-6676
923,3-4029
924,2-4969
925,3-9855
926,4-0499
927,1-1667
928,1-5364
929,8-5060
930,1-1679
931,5-3992
932,7-0954
933,2-5157
934,6-6978
935,6-5381
936,4-3078
937,7-5834
938,1-0428
939,2-0814
940,3-5376
941,7-6344
942,4-3433
943,3-8428
944,5-0091
945,3-0789
946,8-1760
947,5-5083
948,8-5381
949,2-3793
950,3-1731
951,1-9093
952,6-9347
953,5-5671
954,4-6749
955,1-6890
956,7-3775
957,7-8781
958,6-4086
959,1-9110
960,6-1253
961,6-0375
962,4-8837
963,1-1003
964,2-2879
965,5-0714
966,3-5726
967,8-3961
968,3-1094
969,5-1770
970,8-2434
971,8-9929
972,3-1091
973,4-0514
974,3-0776
975,2-3655
976,5-9810
977,7-7537
978,1-3460
979,8-2030
980,7-2951
981,7-0028
982,4-5551
983,6-7176
984,7-2891
985,3-7454
986,3-7993
987,1-7239
988,4-9180
989,2-5342
990,1-4614
991,1-1036
992,4-2946
993,7-3677
994,1-6614
995,1-7495
996,1-6907
997,2-0479
998,3-9704
999,4-6152
1000,3-4501
1001,8-2737
1002,8-4812
1003,6-1866
1004,6-3015
1005,6-4533
1006,4-8403
1007,3-4789
1008,4-2630
1009,1-9450
1010,1-0648
1011,8-4620
1012,3-9442
1013,2-6502
1014,8-6966
1015,6-3222
1016,2-0023
1017,7-4406
1018,3-3501
1019,7-7560
1020,1-2682
1021,3-6105
1022,2-7131
1023,8-2268
1024,7-4005
1025,6-7657
1026,5-9774
1027,2-4793
1028,5-4604
1029,5-0009
1030,8-9253
1031,5-1890
1032,5-3857
1033,7-3345
1034,6-4650
1035,6-2631
1036,1-3094
1037,7-1789
1038,4-1921
1039,1-5537
1040,1-4880
1041,8-2841
1042,4-0308
1043,1-5588
1044,7-0383
1045,4-3980
1046,4-3698
1047,6-4337
1048,3-3166
1049,8-2626
1050,2-8066
1051,8-4886
1052,6-6781
1053,8-2763
1054,3-8112
1055,4-0413
1056,8-6609
1057,2-8737
1058,7-6521
1059,4-7037
1060,8-2671
1061,1-8680
1062,1-8467
1063,1-7279
1064,2-9266
1065,1-5834
1066,1-2153
1067,1-1825
1068,1-2401
1069,6-4786
1070,7-1718
1071,8-6776
1072,4-7490
1073,5-8971
1074,8-9389
1075,4-5586
1076,1-4570
1077,2-1935
1078,7-7502
1079,2-8874
1080,6-0577
1081,4-6637
1082,1-9975
1083,2-2688
1084,7-7161
1085,2-3659
1086,5-9413
1087,3-2979
1088,1-4425
1089,7-7640
1090,6-7274
1091,1-8575
1092,6-7108
1093,7-6617
1094,6-0371
1095,2-1819
1096,4-6175
1097,1-7808
1098,7-0932
1099,7-7602
1100,7-1918
1101,4-5832
1102,3-7551
1103,2-8016
1104,5-0930
1105,5-0228
1106,8-1364
1107,6-5369
1108,8-3009
1109,7-2511
1110,6-2006
1111,8-4367
1112,4-6724
1113,8-8916
1114,5-9921
1115,7-2983
1116,8-2508
1117,6-3161
1118,6-2768
1119,3-3229
1120,5-5642
1121,7-1242
1122,6-3739
1123,8-8675
1124,2-4358
1125,1-1390
1126,3-8295
1127,8-5222
1128,8-5146
1129,7-9785
1130,3-5107
1131,2-6387
1132,4-9095
1133,5-6106
1134,6-5508
1135,4-2125
1136,1-8603
1137,4-5960
1138,2-6765
1139,2-9331
1140,8-0722
1141,8-8071
1142,5-2705
1143,4-4001
1144,6-2797
1145,3-4420
1146,7-1590
1147,7-0861
1148,4-1819
1149,1-0879
1150,7-8710
1151,2-9056
1152,8-8384
1153,8-0971
1154,5-4973
1155,2-1764
1156,4-5844
1157,4-7687
1158,4-1017
1159,6-3551
1160,8-7646
1161,2-5216
1162,1-4154
1163,2-0703
1164,2-6107
1165,3-1473
1166,7-6938
1167,4-5475
1168,3-2875
1169,5-8461
1170,2-3406
1171,8-3897
1172,6-1901
1173,1-2706
1174,3-7458
1175,2-0066
1176,4-1568
1177,5-6329
1178,6-6116
1179,2-2152
1180,3-7157
1181,8-5527
1182,8-3069
1183,6-8177
1184,7-4241
1185,7-3270
1186,4-9265
1187,5-6019
1188,2-0964
1189,1-6923
1190,5-9369
1191,3-1877
1192,7-8483
1193,2-2721
1194,7-5567
1195,7-2142
1196,6-4789
1197,3-4561
1198,3-1178
1199,7-2554
1200,7-5709
1201,5-5528
1202,5-4571
1203,7-5344
1204,5-0774
1205,6-8074
1206,4-1920
1207,6-8128
1208,6-0331
1209,2-7125
1210,4-5677
1211,7-0044
1212,4-9571
1213,6-1632
1214,1-9784
1215,6-0662
1216,5-1698
1217,7-0106
1218,8-0756
1219,6-5716
1220,6-7621
1221,4-7506
1222,8-8986
1223,4-0393
1224,8-8920
1225,6-9069
1226,2-5880
1227,1-8012
1228,8-7598
1229,8-7441
1230,1-6310
1231,2-0427
1232,4-5218
1233,6-2686
1234,4-8163
1235,7-2388
1236,5-0868
1237,5-3755
1238,3-5334
1239,1-6420
1240,7-5209
1241,3-9151
1242,2-3447
1243,1-4165
1244,3-7937
1245,8-5459
1246,6-3428
1247,7-8875
1248,3-9841
1249,1-6805
1250,1-0994
1251,7-5935
1252,6-6667
1253,1-0386
1254,1-4192
1255,6-5637
1256,3-2004
1257,8-8495
1258,5-1621
1259,5-8220
1260,2-3369
1261,4-1801
1262,4-1576
1263,5-5268
1264,8-1265
1265,3-3257
1266,6-6837
1267,1-9372
1268,5-6598
1269,6-4700
1270,5-7767
1271,4-5007
1272,2-5792
1273,3-2812
1274,2-9821
1275,3-1455
1276,4-0880
1277,1-0527
1278,4-6051
1279,7-7117
1280,2-1627
1281,7-9329
1282,2-3510
1283,5-0834
1284,3-6348
1285,4-6121
1286,5-5477
1287,8-1421
1288,4-5505
1289,8-4610
1290,2-4276
1291,5-7907
1292,5-9620
1293,5-8092
1294,6-9093
1295,5-5614
1296,8-0499
1297,2-4810
1298,3-4252
1299,8-1846
1300,8-4697
1301,4-6114
1302,7-1278
1303,7-9157
1304,5-4697
1305,1-5545
1306,2-9359
1307,4-7108
1308,4-2978
1309,2-5221
1310,1-2921
1311,7-9652
1312,7-5484
1313,7-7696
1314,3-5292
1315,8-1627
1316,8-4809
1317,1-8321
1318,7-6464
1319,6-2904
1320,4-3205
1321,8-7811
1322,8-9318
1323,4-8215
1324,8-6822
1325,1-0615
1326,5-5155
1327,1-6938
1328,6-4098
1329,3-0752
1330,1-2362
1331,3-0690
1332,7-4578
1333,8-6620
1334,7-3087
1335,7-0855
1336,6-5007
1337,6-8921
1338,4-8948
1339,2-8174
1340,4-5041
1341,8-4575
1342,2-3354
1343,7-9868
1344,3-4315
1345,8-2292
1346,7-6812
1347,3-0878
1348,2-8701
1349,7-9836
1350,4-0033
1351,6-6487
1352,6-2611
1353,6-6142
1354,7-1906
1355,1-5796
1356,7-0955
1357,2-4499
1358,6-8792
1359,6-2402
1360,7-3488
1361,8-4424
1362,4-7237
1363,2-1547
1364,1-6363
1365,5-8022
1366,4-3852
1367,6-7976
1368,8-6070
1369,4-4203
1370,6-0135
1371,8-8982
1372,1-8394
1373,6-1676
1374,6-4955
1375,5-8020
1376,2-2746
1377,3-1888
1378,4-5052
1379,4-5058
1380,3-8593
1381,3-4469
1382,3-1896
1383,4-2809
1384,1-0097
1385,8-4873
1386,6-8081
1387,5-7156
1388,8-7017
1389,4-8588
1390,7-9285
1391,1-1011
1392,4-5580
1393,1-7278
1394,2-1858
1395,3-4474
1396,5-2120
1397,3-5885
1398,8-5825
1399,1-5226
1400,5-7981
1401,4-4592
1402,4-5631
1403,8-8414
1404,1-6496
1405,7-3645
1406,6-4975
1407,6-3878
1408,1-3573
1409,8-5182
1410,8-7893
1411,8-9158
1412,3-6305
1413,8-8122
1414,1-3864
1415,3-0547
1416,6-3391
1417,2-3854
1418,7-9986
1419,8-5173
1420,5-9426
1421,3-8811
1422,8-7815
1423,5-8399
1424,2-6797
1425,6-8929
1426,4-7170
1427,4-2172
1428,8-1447
1429,1-1397
1430,5-7168
1431,8-0790
1432,4-2340
1433,1-4023
1434,4-4388
1435,1-2483
1436,5-2007
1437,6-1634
1438,3-4638
1439,4-8381
1440,5-5320
1441,3-0178
1442,5-8282
1443,5-6368
1444,6-0180
1445,3-5056
1446,2-0057
1447,1-7751
1448,4-5727
1449,7-4219
1450,2-6787
1451,6-3494
1452,4-5724
1453,7-6512
1454,8-0217
1455,5-2052
1456,7-2016
1457,5-4521
1458,1-4622
1459,3-9821
1460,5-4507
1461,1-1377
1462,7-9909
1463,2-0422
1464,1-2760
1465,3-9440
1466,5-9751
1467,4-3974
1468,8-0148
1469,7-7779
1470,4-2474
1471,2-6231
1472,5-8843
1473,7-3734
1474,2-1024
1475,5-9822
1476,3-2936
1477,2-6164
1478,4-2717
1479,3-2306
1480,5-4603
1481,8-4364
1482,3-2258
1483,4-6954
1484,8-1923
1485,6-2673
1486,1-4660
1487,1-2463
1488,3-2315
1489,8-2017
1490,3-1886
1491,6-3067
1492,8-9024
1493,4-5826
1494,4-2438
1495,2-6924
1496,6-8064
1497,8-5603
1498,1-0168
1499,6-5498
1500,8-2983
1501,2-9712
1502,4-6016
1503,4-9026
1504,5-2200
1505,3-0771
1506,2-3071
1507,2-0459
1508,3-9020
1509,7-9006
1510,4-4188
1511,6-9946
1512,7-6190
1513,3-6739
1514,7-9725
1515,6-1791
1516,1-9383
1517,5-1993
1518,6-6158
1519,4-1976
1520,6-0597
1521,6-1216
1522,5-5758
1523,8-3278
1524,5-8490
1525,1-7397
1526,6-7403
1527,7-3258
1528,6-5228
1529,7-0834
1530,7-9861
1531,1-1262
1532,2-5660
1533,2-3074
1534,5-0725
1535,1-5437
1536,2-0527
1537,2-6422
1538,5-2620
1539,1-5287
1540,6-8444
1541,5-6184
1542,6-1526
1543,8-8734
1544,7-0393
1545,5-9694
1546,8-3327
1547,4-0054
1548,5-3584
1549,6-3184
1550,3-1294
1551,1-1000
1552,7-7741
1553,4-0193
1554,8-7003
1555,7-5110
1556,2-4426
1557,6-7527
1558,2-8797
1559,3-1620
1560,4-2841
1561,3-1281
1562,4-7969
1563,5-2739
1564,6-5852
1565,1-1350
1566,5-2747
1567,4-6507
1568,8-0212
1569,3-2436
1570,8-3650
1571,6-7434
1572,6-8065
1573,7-9953
1574,2-9881
1575,5-7782
1576,6-9136
1577,1-5614
1578,7-8865
1579,4-0503
1580,3-5739
1581,1-3889
1582,8-4452
1583,8-1142
1584,8-1181
1585,5-9848
1586,8-8487
1587,2-6305
1588,7-3936
1589,5-1232
1590,8-5872
1591,1-6160
1592,7-3736
1593,6-3060
1594,6-1103
1595,4-9652
1596,7-0359
1597,2-6108
1598,2-0039
1599,8-7237
1600,6-2408
1601,1-0488
1602,6-9411
1603,5-8077
1604,5-7124
1605,3-6327
1606,8-6353
1607,8-7594
1608,6-9910
1609,3-6552
1610,7-9023
1611,1-2426
1612,6-6466
1613,7-3728
1614,3-9908
1615,2-5772
1616,7-7805
1617,5-4746
1618,1-4000
1619,7-6028
1620,8-8260
1621,7-4453
1622,6-9950
1623,4-1799
1624,1-2590
1625,1-2350
1626,6-3384
1627,5-0422
1628,1-7486
1629,7-3608
1630,1-9848
1631,5-0698
1632,1-1675
1633,1-4701
1634,4-5013
1635,3-5200
1636,8-9769
1637,1-1260
1638,1-4621
1639,6-0091
1640,2-0219
1641,7-6934
1642,2-3719
1643,2-1312
1644,7-6263
1645,1-0723
1646,8-8353
1647,4-4906
1648,8-6689
1649,6-6419
1650,8-2959
1651,7-6883
1652,5-1271
1653,8-7307
1654,2-6706
1655,5-3937
1656,1-1731
1657,3-0569
1658,5-3088
1659,7-7955
1660,3-9625
1661,7-8501
1662,3-1968
1663,7-6009
1664,7-2115
1665,2-3002
1666,2-5054
1667,8-9291
1668,5-9748
1669,2-9731
1670,1-2461
1671,1-7648
1672,2-7874
1673,4-3950
1674,7-4550
1675,6-6398
1676,3-3914
1677,5-9273
1678,8-7550
1679,1-7378
1680,7-2373
1681,2-8782
1682,1-3467
1683,1-6544
1684,7-8374
1685,8-7851
1686,5-1889
1687,7-1826
1688,1-4624
1689,8-5131
1690,6-1220
1691,7-2153
1692,1-3816
1693,7-5343
1694,1-9042
1695,6-7164
1696,4-3299
1697,3-1553
1698,8-9813
1699,1-5280
1700,2-0929
1701,5-7478
1702,6-1961
1703,1-6658
1704,1-3529
1705,7-2536
1706,6-8951
1707,7-2656
1708,7-6493
1709,7-0893
1710,5-9579
1711,5-7794
1712,4-1760
1713,3-8098
1714,3-6930
1715,6-4087
1716,8-1227
1717,5-0156
1718,1-3905
1719,3-6163
1720,1-3638
1721,3-8814
1722,4-1974
1723,4-9542
1724,7-0364
1725,7-9431
1726,1-0297
1727,6-1972
1728,4-9946
1729,2-0478
1730,3-9700
1731,5-8458
1732,5-3083
1733,8-0956
1734,1-3193
1735,1-1754
1736,1-0502
1737,6-4773
1738,7-5257
1739,2-1584
1740,8-5659
1741,4-6409
1742,8-6211
1743,4-3184
1744,2-1832
1745,6-4592
1746,3-4791
1747,2-0989
1748,8-0647
1749,8-0880
1750,5-8626
1751,3-2749
1752,2-0270
1753,8-7821
1754,3-0208
1755,4-7921
1756,8-6748
1757,6-7963
1758,1-4688
1759,5-4896
1760,1-7344
1761,4-9717
1762,7-1023
1763,7-5041
1764,2-3592
1765,8-5126
1766,7-8068
1767,6-4850
1768,4-5189
1769,2-9882
1770,2-0345
1771,2-1904
1772,1-8442
1773,8-2349
1774,5-5362
1775,6-8565
1776,2-1030
1777,4-3329
1778,8-5720
1779,3-0449
1780,4-1522
1781,8-7071
1782,1-6442
1783,5-8550
1784,2-4186
1785,3-2179
1786,6-0734
1787,7-6987
1788,1-2455
1789,6-8949
1790,3-4980
1791,4-0633
1792,6-9455
1793,4-6063
1794,2-5187
1795,6-3102
1796,8-6586
1797,6-0085
1798,1-5192
1799,8-2286
1800,6-7611
1801,4-4277
1802,6-3556
1803,3-1995
1804,4-1341
1805,2-8709
1806,7-9376
1807,8-2573
1808,4-6495
1809,1-2838
1810,4-6008
1811,6-9505
1812,5-4836
1813,1-9129
1814,7-4044
1815,2-3959
1816,2-0630
1817,5-9275
1818,3-4069
1819,3-2547
1820,8-4296
1821,6-3683
1822,6-1895
1823,2-2639
1824,6-5988
1825,1-1921
1826,2-9812
1827,2-4822
1828,2-4720
1829,5-6088
1830,5-4955
1831,6-4092
1832,1-8088
1833,4-8586
1834,4-5457
1835,1-9325
1836,6-0098
1837,4-8083
1838,8-0476
1839,8-7765
1840,3-6689
1841,4-3164
1842,2-7335
1843,8-8008
1844,5-4887
1845,3-4000
1846,7-7098
1847,7-3251
1848,2-5790
1849,6-9290
1850,3-6443
1851,7-9278
1852,1-2774
1853,8-9745
1854,4-7043
1855,4-2230
1856,4-1009
1857,5-1072
1858,8-3375
1859,1-6329
1860,2-5163
1861,6-2285
1862,1-5666
1863,6-7141
1864,4-9055
1865,1-3001
1866,5-2317
1867,7-6809
1868,6-1642
1869,6-2094
1870,4-0625
1871,8-9112
1872,1-0293
1873,5-0404
